Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429334,61664910393.24955,0.5010881990728173
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102591,15081376466.559593,0.8779812271613102
PolynomialRegression,82894.44754893737,10604968576.361347,0.9141984649378844
SGDRegressor,5.98810336636854e+17,3.99643608076852e+35,-3.2333933668780017e+24
ANN,199149.81124490922,61424485331.46031,0.5030334042113693
RandomForest,97861.7913027854,14874010245.041859,0.8796589634033498
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
